#,"IDE (e.g., Remix)","Linter (e.g., EthLinter)","Static analysis (e.g., slither)","Fuzzer (e.g., Echidna)","Symbolic execution (e.g., Mythril)","Model checking/Formal verification (e.g., VeriSmart)","Automated patcher/Bytecode hardening (e.g., sGuard)",Runtime monitoring,"Developers toolkits (e.g., hardhat/foundry)",Other,Low false positives (tool does not wrongly indicate that there is a vulnerability),Low false negatives (tool does not miss vulnerabilities that it should detect),"Ease of use (e.g., simple CLI, integrated into IDE)",Documentation,"Report quality (i.e., detail of vulnerabilities detected)",Reentrancy,Absence of coding logic or sanity check,Logic errors,Oracle manipulation,Token standard incompatibility,Function/State Visibility Error,Improper asset locks or frozen asset,Unhandled or mishandled exception,Timestamp Dependence,Integer Overflow and Underflow,Other,Reentrancy,Absence of coding logic or sanity check,Logic errors,Oracle manipulation,Token standard incompatibility,Function/State Visibility Error,Improper asset locks or frozen asset,Unhandled or mishandled exception,Timestamp Dependency,Integer Overflow and Underflow,Other,Do you want to answer two more questions regarding tools' usage (approx. 3 minutes)?,Code Reviews,Internal Auditing,External Auditing,Bug Bounty,Runtime monitoring,"Testing (e.g., unit testing, integration testing)",Other,Open-source,Internally developed,Extended existing open-source tools,"Third-party service (e.g., MythX)",We don't use any security tools,Slither,Manticore,Mythril,Echidna,Foundry's propert-based fuzzer,Remix-analyzer,Oyente,Ethlint,Solhint,Maian,Securify2,MythX (Consensys),Certora’s prover,Other linter (similar to Ethlint),Other static analyzer (similar to Slither),Other fuzzer (Similar to Echidna),Other symbolic execution tool (Similar to Mythril),"Other formal verification / model checking tool (e.g., Dafny or Act)","Other runtime monitoring (e.g., forta)",Other,"If the organization you work for runs any tool that requires invariants (e.g., property-based fuzzing -- Foundry's Fuzzer) or specifications (e.g., for formal verification), who is going to write them?",Other,Does the organization you work for hire external security auditors for auditing its protocols?,Security audits reveal critical vulnerabilities,The feedback of security audits improves the quality of the audited application,Most of the issues reported on security audits are resolved before shipping an application,A primary reason to do a security audit is because they are typically considered important,"As a percentage, how much of your team's overall effort in the development life cycle relates to security tasks (e.g., code reviews, running/configuring automated tools, interacting with auditors, fixing security issues)?",Start Date (UTC),Submit Date (UTC),Network ID,Tags
5olfbcttf6604stez5olw314ydpvpk2j,"IDE (e.g., Remix)","Linter (e.g., EthLinter)","Static analysis (e.g., slither)","Fuzzer (e.g., Echidna)",,,,Runtime monitoring,"Developers toolkits (e.g., hardhat/foundry)",,Agree,Disagree,Agree,Strongly agree,Strongly agree,Reentrancy,Absence of coding logic or sanity check,Logic errors,Oracle manipulation,,,,,,,,,,,Oracle manipulation,,Function/State Visibility Error,,,,,,1,Code Reviews,Internal Auditing,External Auditing,Bug Bounty,,"Testing (e.g., unit testing, integration testing)",,Open-source,,,,,Slither,,,Echidna,Foundry's propert-based fuzzer,Remix-analyzer,,Ethlint,Solhint,,,,,Other linter (similar to Ethlint),Other static analyzer (similar to Slither),Other fuzzer (Similar to Echidna),,,,,Developers of the dapp,,1,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,61%-80%,2023-03-11 1:01:54,2023-03-11 1:11:03,46c79a1f6f,
8c7pxdpqqihpxsih4h8c7kh1nj54uttk,"IDE (e.g., Remix)","Linter (e.g., EthLinter)","Static analysis (e.g., slither)","Fuzzer (e.g., Echidna)","Symbolic execution (e.g., Mythril)","Model checking/Formal verification (e.g., VeriSmart)",,Runtime monitoring,"Developers toolkits (e.g., hardhat/foundry)",Ape,Neither agree nor disagree,Strongly agree,Strongly agree,Strongly agree,Agree,Reentrancy,Absence of coding logic or sanity check,Logic errors,Oracle manipulation,Token standard incompatibility,,Improper asset locks or frozen asset,,,,,,Absence of coding logic or sanity check,Logic errors,,,,,,,,,1,Code Reviews,Internal Auditing,External Auditing,Bug Bounty,Runtime monitoring,"Testing (e.g., unit testing, integration testing)",,Open-source,Internally developed,Extended existing open-source tools,,,Slither,,,,Foundry's propert-based fuzzer,,,,,,,,,,,Other fuzzer (Similar to Echidna),,"Other formal verification / model checking tool (e.g., Dafny or Act)","Other runtime monitoring (e.g., forta)",,Developers + External auditors,,1,Agree,Strongly Agree,Strongly Agree,Disagree,61%-80%,2023-03-11 0:58:55,2023-03-11 1:09:41,5b383c99d7,
et81dq539wku49l7zuket81dgnxpqhv3,"IDE (e.g., Remix)","Linter (e.g., EthLinter)",,,,,,,"Developers toolkits (e.g., hardhat/foundry)",,Disagree,Strongly agree,Agree,Agree,Agree,,Absence of coding logic or sanity check,,Oracle manipulation,,,Improper asset locks or frozen asset,,,,,,,,Oracle manipulation,,,Improper asset locks or frozen asset,,,,,0,Code Reviews,,External Auditing,Bug Bounty,,"Testing (e.g., unit testing, integration testing)",,Open-source,,,,,,,,,,,,,Solhint,,,,Certora’s prover,,,,,,,,Developers + External auditors,,1,Agree,Strongly Agree,Agree,Neutral,21%-40%,2023-03-10 13:36:08,2023-03-10 13:41:38,fb137ab43f,
sljrtmon0d7jsjlsljou83cpofycah86,"IDE (e.g., Remix)",,,,,"Model checking/Formal verification (e.g., VeriSmart)",,,"Developers toolkits (e.g., hardhat/foundry)",,Agree,Agree,Agree,Agree,Strongly agree,,Absence of coding logic or sanity check,Logic errors,,,,Improper asset locks or frozen asset,,Timestamp Dependence,,,,,,,,,,,Timestamp Dependency,,,0,Code Reviews,,External Auditing,Bug Bounty,,"Testing (e.g., unit testing, integration testing)",,Open-source,,,,,,,,,,,,,Solhint,,,,Certora’s prover,,,,,,,,Developers of the dapp,,0,,,,,41%-60%,2023-03-10 13:30:34,2023-03-10 13:39:45,e0ef4cd2fd,
sl1z8x8nn1sfmbwv3s3ffssl1z8a2635,,"Linter (e.g., EthLinter)",,,,,,,"Developers toolkits (e.g., hardhat/foundry)",,Strongly agree,Strongly agree,Agree,Neither agree nor disagree,Neither agree nor disagree,,,,,,,,Unhandled or mishandled exception,,,How DeFi protocol u integrate with really works,,,,,,,,,,,,1,Code Reviews,,External Auditing,Bug Bounty,Runtime monitoring,"Testing (e.g., unit testing, integration testing)",,Open-source,Internally developed,Extended existing open-source tools,,,Slither,,,,,,,,,,,,,,,,,,,,,,1,Disagree,Agree,Agree,Strongly Agree,41%-60%,2023-03-09 14:41:59,2023-03-09 14:50:00,ff9cd2e802,
gg8cetb9lgm7l604ugg8cetkorg3hj6j,,,,,,,,,"Developers toolkits (e.g., hardhat/foundry)",,,,,,,,,Logic errors,Oracle manipulation,,,,,Timestamp Dependence,,,,,,,,,,,,,,1,Code Reviews,Internal Auditing,External Auditing,Bug Bounty,Runtime monitoring,"Testing (e.g., unit testing, integration testing)",,,,,,We don't use any security tools,,,,,,,,,,,,,,,,,,,,,,,1,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,21%-40%,2023-03-09 13:25:52,2023-03-09 13:29:29,0e166383cc,
4l314ilbodjiligynyms14l314ixagck,"IDE (e.g., Remix)","Linter (e.g., EthLinter)","Static analysis (e.g., slither)","Fuzzer (e.g., Echidna)",,,,,"Developers toolkits (e.g., hardhat/foundry)",,Agree,Strongly agree,Neither agree nor disagree,Agree,Neither agree nor disagree,Reentrancy,Absence of coding logic or sanity check,Logic errors,,,,Improper asset locks or frozen asset,,,,,Reentrancy,Absence of coding logic or sanity check,Logic errors,Oracle manipulation,,,,,,,,0,Code Reviews,Internal Auditing,External Auditing,Bug Bounty,Runtime monitoring,"Testing (e.g., unit testing, integration testing)",,Open-source,,,"Third-party service (e.g., MythX)",,Slither,,,,Foundry's propert-based fuzzer,,,,Solhint,,,,Certora’s prover,,,,,,"Other runtime monitoring (e.g., forta)",,Developers of the dapp,,1,Neutral,Agree,Agree,Agree,61%-80%,2023-03-09 11:15:44,2023-03-09 11:20:36,e4cb04e890,
9lbq53edqzwi26xmi5m9lbq53edil1ra,"IDE (e.g., Remix)",,,,,,,,"Developers toolkits (e.g., hardhat/foundry)",,Agree,Strongly agree,Agree,Agree,Agree,,Absence of coding logic or sanity check,,,,,,,,,,,,,,,,,,,,,0,Code Reviews,Internal Auditing,,,,"Testing (e.g., unit testing, integration testing)",,Open-source,Internally developed,,,,Slither,,,,,,,,,,,,,,,,,,,,,,0,,,,,,2023-03-02 13:31:34,2023-03-02 13:33:00,0e166383cc,
xreuwsgjtgnpznkxreuwii6wm1006obr,"IDE (e.g., Remix)",,,,,,,Runtime monitoring,"Developers toolkits (e.g., hardhat/foundry)",,Neither agree nor disagree,Strongly agree,Agree,Agree,Agree,,,Logic errors,,,,,,,,,,,Logic errors,Oracle manipulation,,,,,,,,0,Code Reviews,Internal Auditing,External Auditing,Bug Bounty,Runtime monitoring,"Testing (e.g., unit testing, integration testing)",,Open-source,Internally developed,,,,Slither,,Mythril,Echidna,,,,,,,,,,,,,,,,,Developers of the dapp,,1,Neutral,Agree,Agree,Agree,21%-40%,2023-03-02 13:29:32,2023-03-02 13:31:15,0e166383cc,
1q6ipm9176tylyh1q6iphmcuhg7bmpb9,"IDE (e.g., Remix)","Linter (e.g., EthLinter)","Static analysis (e.g., slither)",,,,,Runtime monitoring,"Developers toolkits (e.g., hardhat/foundry)",,Disagree,Agree,Strongly agree,Agree,Neither agree nor disagree,Reentrancy,Absence of coding logic or sanity check,,Oracle manipulation,,,,,,,,Reentrancy,,,,,,,,,,,1,Code Reviews,Internal Auditing,External Auditing,Bug Bounty,Runtime monitoring,"Testing (e.g., unit testing, integration testing)",,Open-source,Internally developed,,,,Slither,,,,,,,,Solhint,,,,,,,Other fuzzer (Similar to Echidna),,,,,External security auditors,,1,Strongly Agree,Strongly Agree,Strongly Agree,Agree,21%-40%,2023-03-02 13:26:47,2023-03-02 13:29:13,0e166383cc,
8wufujq1qn66f862qe88wufuj3yz5a6j,"IDE (e.g., Remix)","Linter (e.g., EthLinter)",,,,,,,"Developers toolkits (e.g., hardhat/foundry)",,Strongly agree,Strongly agree,Agree,Agree,Agree,Reentrancy,,Logic errors,,,,,,,,,,,Logic errors,,,,,,,,,0,Code Reviews,Internal Auditing,External Auditing,Bug Bounty,,"Testing (e.g., unit testing, integration testing)",,Open-source,Internally developed,Extended existing open-source tools,,,Slither,,Mythril,,,,,,,,,,,,,,,,"Other runtime monitoring (e.g., forta)",,External security auditors,,1,Strongly Agree,Strongly Agree,Strongly Agree,Neutral,21%-40%,2023-03-02 13:23:58,2023-03-02 13:26:04,0e166383cc,
rxux55dz1vtpn8puyyorxux55suk9e3w,"IDE (e.g., Remix)","Linter (e.g., EthLinter)",,"Fuzzer (e.g., Echidna)",,,,,"Developers toolkits (e.g., hardhat/foundry)",,Strongly agree,Strongly agree,Neither agree nor disagree,Strongly agree,Agree,Reentrancy,,Logic errors,Oracle manipulation,,,,,,,,,,,Oracle manipulation,,,,,,,,0,Code Reviews,Internal Auditing,External Auditing,Bug Bounty,Runtime monitoring,"Testing (e.g., unit testing, integration testing)",,Open-source,Internally developed,,,,,,,,,,,,,,,,,,,,,,,,Developers of the dapp,,1,Agree,Agree,Strongly Agree,Disagree,0%-20%,2023-03-02 13:21:03,2023-03-02 13:23:16,0e166383cc,
ojqco80ivryxqweclsojqcx626p0nacq,"IDE (e.g., Remix)","Linter (e.g., EthLinter)",,"Fuzzer (e.g., Echidna)",,,,Runtime monitoring,"Developers toolkits (e.g., hardhat/foundry)",,Agree,Strongly agree,Neither agree nor disagree,Agree,Neither agree nor disagree,Reentrancy,,Logic errors,,,,,,,,,,,Logic errors,Oracle manipulation,,,,,,,,0,,,,,,,,Open-source,Internally developed,,"Third-party service (e.g., MythX)",,,,,,,,,,,,,,,,,,,,,,I don't know,,1,Agree,Agree,Neutral,Disagree,,2023-03-02 13:18:24,2023-03-02 13:20:46,0e166383cc,
cwpcvbwr4qdkr9xxxxeukxacwpcn514y,"IDE (e.g., Remix)",,,,,,,,"Developers toolkits (e.g., hardhat/foundry)",,Agree,Agree,Agree,Agree,Neither agree nor disagree,,,Logic errors,Oracle manipulation,,,,Unhandled or mishandled exception,,,,,,,Oracle manipulation,,,,Unhandled or mishandled exception,,,,0,Code Reviews,Internal Auditing,External Auditing,Bug Bounty,Runtime monitoring,"Testing (e.g., unit testing, integration testing)",,Open-source,Internally developed,Extended existing open-source tools,"Third-party service (e.g., MythX)",,Slither,,,,Foundry's propert-based fuzzer,,,Ethlint,,,,,,Other linter (similar to Ethlint),Other static analyzer (similar to Slither),Other fuzzer (Similar to Echidna),Other symbolic execution tool (Similar to Mythril),"Other formal verification / model checking tool (e.g., Dafny or Act)","Other runtime monitoring (e.g., forta)",,External security auditors,,1,Agree,Agree,Agree,Neutral,61%-80%,2023-02-27 13:34:19,2023-02-27 16:31:09,6dbb3b4c1a,
jxcv0j3r8goondjxcv0jt4cgaud11fve,"IDE (e.g., Remix)",,,,"Symbolic execution (e.g., Mythril)",,,,"Developers toolkits (e.g., hardhat/foundry)",,Neither agree nor disagree,Strongly agree,Neither agree nor disagree,Strongly agree,Strongly agree,,,Logic errors,Oracle manipulation,,,Improper asset locks or frozen asset,,,,,,,,,,,,,Timestamp Dependency,,,0,Code Reviews,,External Auditing,Bug Bounty,,"Testing (e.g., unit testing, integration testing)",,Open-source,,,,,,,Mythril,,Foundry's propert-based fuzzer,,,,Solhint,,,,,,,,,,,,Developers of the dapp,,1,Strongly Agree,Strongly Agree,Strongly Agree,Neutral,21%-40%,2023-02-27 14:00:22,2023-02-27 14:10:23,f28eb03e41,
r9gdtmv15midyf7tlq8r9gdtmeopbkxf,"IDE (e.g., Remix)","Linter (e.g., EthLinter)","Static analysis (e.g., slither)",,,,,Runtime monitoring,"Developers toolkits (e.g., hardhat/foundry)",,Strongly agree,Strongly agree,Disagree,Agree,Agree,Reentrancy,,,Oracle manipulation,,,,,,,,,,Logic errors,Oracle manipulation,Token standard incompatibility,,Improper asset locks or frozen asset,,,,,1,Code Reviews,,External Auditing,Bug Bounty,Runtime monitoring,"Testing (e.g., unit testing, integration testing)",,Open-source,,,,,Slither,,,Echidna,,Remix-analyzer,,Ethlint,Solhint,,,,,,,,,,,,Developers of the dapp,,1,Strongly Agree,Strongly Agree,Strongly Agree,Agree,21%-40%,2023-02-22 12:28:18,2023-02-22 14:22:59,de8f2cc022,
rnkuryvspq0mq2h1z30rnkur0ys0wip8,"IDE (e.g., Remix)","Linter (e.g., EthLinter)","Static analysis (e.g., slither)",,,,,Runtime monitoring,"Developers toolkits (e.g., hardhat/foundry)",,Neither agree nor disagree,Strongly agree,Disagree,Agree,Agree,,,Logic errors,Oracle manipulation,,,Improper asset locks or frozen asset,Unhandled or mishandled exception,,,,,,Logic errors,Oracle manipulation,,,Improper asset locks or frozen asset,Unhandled or mishandled exception,,,,1,Code Reviews,Internal Auditing,External Auditing,Bug Bounty,Runtime monitoring,"Testing (e.g., unit testing, integration testing)",,Open-source,Internally developed,Extended existing open-source tools,,,,,,,,,,,,,,,,,,,,,,,Developers + External auditors,,1,Agree,Agree,Strongly Agree,Neutral,0%-20%,2023-02-22 3:20:02,2023-02-22 3:41:46,9995289d61,
fvimb2mi6ai25uf2679nfvi5yaja8sm8,"IDE (e.g., Remix)","Linter (e.g., EthLinter)","Static analysis (e.g., slither)",,,,,Runtime monitoring,"Developers toolkits (e.g., hardhat/foundry)",,Neither agree nor disagree,Strongly agree,Agree,Strongly agree,Strongly agree,,,Logic errors,Oracle manipulation,Token standard incompatibility,,Improper asset locks or frozen asset,,,,Admin features,,Absence of coding logic or sanity check,Logic errors,Oracle manipulation,Token standard incompatibility,,,,,,,0,Code Reviews,,External Auditing,Bug Bounty,,"Testing (e.g., unit testing, integration testing)",,Open-source,,,"Third-party service (e.g., MythX)",,Slither,,,,,,,Ethlint,Solhint,,,,,,,,,,"Other runtime monitoring (e.g., forta)",,Developers of the dapp,,1,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,41%-60%,2023-02-20 23:08:04,2023-02-20 23:13:27,1373f5ba67,
tb69mw3m2maj2w58rtb69mwxic659iid,"IDE (e.g., Remix)","Linter (e.g., EthLinter)",,"Fuzzer (e.g., Echidna)",,"Model checking/Formal verification (e.g., VeriSmart)",,Runtime monitoring,"Developers toolkits (e.g., hardhat/foundry)",,Agree,Strongly agree,Neither agree nor disagree,Agree,Agree,,Absence of coding logic or sanity check,,Oracle manipulation,,,,,,,,,,,,,,,,,,I haven't used these tools to test the above so I couldn't say,0,Code Reviews,Internal Auditing,External Auditing,Bug Bounty,Runtime monitoring,"Testing (e.g., unit testing, integration testing)",,,,,,We don't use any security tools,,,,,,,,,,,,,,,,,,,,,,,1,Neutral,Agree,Strongly Agree,Agree,21%-40%,2023-02-20 19:00:18,2023-02-20 19:33:40,ea0897c8bc,
is25lip2py73z66z47iais25cakozrl3,"IDE (e.g., Remix)","Linter (e.g., EthLinter)","Static analysis (e.g., slither)","Fuzzer (e.g., Echidna)",,,,Runtime monitoring,"Developers toolkits (e.g., hardhat/foundry)",,Neither agree nor disagree,Agree,Agree,Agree,Neither agree nor disagree,,Absence of coding logic or sanity check,Logic errors,Oracle manipulation,,,,Unhandled or mishandled exception,,,,,,Logic errors,Oracle manipulation,,,,Unhandled or mishandled exception,,,,1,Code Reviews,Internal Auditing,External Auditing,Bug Bounty,Runtime monitoring,"Testing (e.g., unit testing, integration testing)",,Open-source,Internally developed,Extended existing open-source tools,"Third-party service (e.g., MythX)",,Slither,Manticore,,,Foundry's propert-based fuzzer,,,,Solhint,,,,,,,,,,"Other runtime monitoring (e.g., forta)",,Developers + External auditors,,1,Strongly Agree,Agree,Strongly Agree,Agree,21%-40%,2023-02-17 18:48:13,2023-02-17 19:02:26,a460287b2d,
dduorwrkul03l1xl8n60dduorworeocq,"IDE (e.g., Remix)","Linter (e.g., EthLinter)","Static analysis (e.g., slither)",,"Symbolic execution (e.g., Mythril)",,,,,,Neither agree nor disagree,Neither agree nor disagree,Strongly disagree,Strongly disagree,Strongly disagree,,,Logic errors,Oracle manipulation,,,,,,,,,,Logic errors,Oracle manipulation,,,,,,,,1,Code Reviews,Internal Auditing,External Auditing,Bug Bounty,Runtime monitoring,"Testing (e.g., unit testing, integration testing)",,Open-source,Internally developed,,"Third-party service (e.g., MythX)",,Slither,,Mythril,,,Remix-analyzer,,,Solhint,,,MythX (Consensys),,,,,,,,,Developers of the dapp,,1,Neutral,Strongly Disagree,Strongly Disagree,Strongly Disagree,21%-40%,2023-02-17 17:28:50,2023-02-17 17:40:09,42e16d4d2c,
n4c8plvjtgnsrvq0abon4c8pkioufz6e,"IDE (e.g., Remix)","Linter (e.g., EthLinter)","Static analysis (e.g., slither)","Fuzzer (e.g., Echidna)","Symbolic execution (e.g., Mythril)",,,Runtime monitoring,"Developers toolkits (e.g., hardhat/foundry)",,Agree,Agree,Agree,Agree,Agree,Reentrancy,,,Oracle manipulation,Token standard incompatibility,,,,,,,Reentrancy,Absence of coding logic or sanity check,,Oracle manipulation,,,,,,,,0,Code Reviews,Internal Auditing,External Auditing,Bug Bounty,Runtime monitoring,"Testing (e.g., unit testing, integration testing)",,Open-source,Internally developed,Extended existing open-source tools,"Third-party service (e.g., MythX)",,Slither,,Mythril,,Foundry's propert-based fuzzer,Remix-analyzer,,Ethlint,Solhint,,,MythX (Consensys),,,,,,,,,External security auditors,,1,Strongly Agree,Strongly Agree,Agree,Strongly Agree,41%-60%,2023-02-15 9:28:22,2023-02-15 9:33:30,fe101c4571,
bxyq6zp67zrfib0tggerjbxyq6zpds9t,"IDE (e.g., Remix)","Linter (e.g., EthLinter)","Static analysis (e.g., slither)","Fuzzer (e.g., Echidna)",,,,Runtime monitoring,"Developers toolkits (e.g., hardhat/foundry)",,Neither agree nor disagree,Strongly agree,Agree,Neither agree nor disagree,Neither agree nor disagree,,,,,,,,,,,"of course it is ""the other vulnerabilites"" that are hardest to detect",,,,,,,,,,,"the problem is the unknown type of vulns, not the things in this list",1,Code Reviews,Internal Auditing,External Auditing,Bug Bounty,,"Testing (e.g., unit testing, integration testing)",,Open-source,,,,,Slither,,Mythril,,,Remix-analyzer,,,,,,,,,,,,,,,,,1,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,21%-40%,2023-02-15 8:38:54,2023-02-15 8:45:25,a9a4f11867,
6zh8amzmu0qevjmq6zhu1wec1hdbisms,"IDE (e.g., Remix)","Linter (e.g., EthLinter)",,,,,,Runtime monitoring,"Developers toolkits (e.g., hardhat/foundry)",,Strongly disagree,Strongly agree,Agree,Agree,Agree,,,Logic errors,,,,,,,,,,,Logic errors,,,,,,,,blocking transaction by manipulation,0,Code Reviews,Internal Auditing,External Auditing,Bug Bounty,,"Testing (e.g., unit testing, integration testing)",,Open-source,,Extended existing open-source tools,,,Slither,,,,,,,,Solhint,,,,,,,,,,,,Developers of the dapp,,1,Strongly Agree,Strongly Agree,Strongly Agree,Agree,41%-60%,2023-02-14 16:49:36,2023-02-14 16:58:44,9c94455073,
1d52zr1pm9gqout8wt1d52zrk2ke7wn4,"IDE (e.g., Remix)","Linter (e.g., EthLinter)","Static analysis (e.g., slither)",,,,,Runtime monitoring,"Developers toolkits (e.g., hardhat/foundry)",,Agree,Agree,Agree,Strongly agree,Agree,,Absence of coding logic or sanity check,Logic errors,Oracle manipulation,,,Improper asset locks or frozen asset,,,,,,,Logic errors,Oracle manipulation,,,Improper asset locks or frozen asset,,,,,1,Code Reviews,Internal Auditing,External Auditing,Bug Bounty,Runtime monitoring,"Testing (e.g., unit testing, integration testing)",,Open-source,,,,,Slither,,,,,,,Ethlint,Solhint,,,,,,,,,,"Other runtime monitoring (e.g., forta)",,Developers of the dapp,,1,Agree,Agree,Strongly Agree,Neutral,61%-80%,2023-02-14 11:53:18,2023-02-14 12:05:44,1112f045c4,
f7t4p7rk1qvnnjs88r7df7t4p7vuseo2,"IDE (e.g., Remix)","Linter (e.g., EthLinter)","Static analysis (e.g., slither)","Fuzzer (e.g., Echidna)","Symbolic execution (e.g., Mythril)","Model checking/Formal verification (e.g., VeriSmart)",,,"Developers toolkits (e.g., hardhat/foundry)",,Disagree,Strongly agree,Agree,Agree,Agree,,Absence of coding logic or sanity check,Logic errors,,,,,,,,,,,Logic errors,,,,,,,,,1,Code Reviews,Internal Auditing,External Auditing,Bug Bounty,,"Testing (e.g., unit testing, integration testing)",,Open-source,Internally developed,Extended existing open-source tools,,,Slither,,,Echidna,,,,,Solhint,,,,,,,,Other symbolic execution tool (Similar to Mythril),,,,Developers + External auditors,,1,Agree,Strongly Agree,Strongly Agree,Neutral,41%-60%,2023-02-14 1:13:37,2023-02-14 1:18:48,1e3a174546,
z8k3uppjvpn7szppkz8k3u1emhaz52jo,"IDE (e.g., Remix)","Linter (e.g., EthLinter)","Static analysis (e.g., slither)","Fuzzer (e.g., Echidna)","Symbolic execution (e.g., Mythril)",,,Runtime monitoring,"Developers toolkits (e.g., hardhat/foundry)",,Neither agree nor disagree,Strongly agree,Agree,Agree,Strongly agree,,,,,,,Improper asset locks or frozen asset,Unhandled or mishandled exception,,,,,,,,,,Improper asset locks or frozen asset,Unhandled or mishandled exception,,,,0,Code Reviews,,External Auditing,Bug Bounty,Runtime monitoring,"Testing (e.g., unit testing, integration testing)",,Open-source,,,,,Slither,,,Echidna,,,,,Solhint,,,,,,,,,,"Other runtime monitoring (e.g., forta)",,Developers + External auditors,,1,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,61%-80%,2023-02-09 19:56:02,2023-02-09 20:01:10,e3d8cb9ab4,